Messung,Flussrate (mL/min),tR_mit_Säule (min),tR_ohne_Säule (min),tR_berechnet (min),Totvolumen_Säule (mL)
1,2.0,0.6006449955288606,0.198077953756783,0.40256704177207764,0.8051340835441553
2,1.9,0.6255066030142888,0.21053858293494618,0.41496802007934264,0.788439238150751
3,1.7999999999999998,0.6759015776862529,0.22191285960467652,0.45398871808157637,0.8171796925468374
4,1.6999999999999997,0.7006313040409534,0.2538682307314791,0.4467630733094743,0.7594972246261061
5,1.5999999999999996,0.7355178565576053,0.2767259912407109,0.45879186531689437,0.7340669845070308
6,1.4999999999999996,0.7855838105862326,0.2856901963497177,0.4998936142365149,0.7498404213547721
7,1.3999999999999995,0.8508046472293335,0.3108356743302962,0.5399689728990373,0.755956562058652
8,1.2999999999999994,0.9005431736220687,0.3282438700265485,0.5722993035955202,0.7439890946741758
9,1.1999999999999993,0.9653153057542256,0.354101117583053,0.6112141881711726,0.7334570258054066
10,1.0999999999999992,1.0631526724604516,0.3857730531340926,0.677379619326359,0.7451175812589944
11,0.9999999999999991,1.1536581982842133,0.40622173436460135,0.747436463919612,0.7474364639196114
12,0.899999999999999,1.293141304493127,0.4642103638125329,0.8289309406805941,0.7460378466125339
13,0.7999999999999989,1.4454115504434437,0.5174695911583709,0.9279419592850728,0.7423535674280572
14,0.6999999999999988,1.6427498497052682,0.5892934958333429,1.0534563538719253,0.7374194477103465
15,0.5999999999999988,1.95722385193836,0.683589597402753,1.273634254535607,0.7641805527213626
16,0.49999999999999867,2.3630206578277266,0.8264589204305919,1.5365617373971348,0.7682808686985654
17,0.3999999999999986,2.932695525100843,1.0206970967246838,1.9119984283761593,0.764799371350461
18,0.2999999999999985,3.9362751717062943,1.3597092467731131,2.576565924933181,0.7729697774799504
19,0.1999999999999984,5.877282752617938,2.021289097295959,3.8559936553219787,0.7711987310643895
20,0.09999999999999831,11.887312301363666,4.026153873613727,7.861158427749939,0.7861158427749807
Mittelwert,,,,,0.761673518914357
Standardabweichung,,,,,0.023275122211404112
