"","Bodenhoehe / -","Bodenzahl / - ","Reduzierte Flussrate / -","Fluss / ml"
"1",9.24447200414083,2163.45508873211,0.246156494512335,0.05
"2",6.96355283744097,2872.0971129085,0.344619092317269,0.07
"3",5.2901782994527,3780.59091166532,0.49231298902467,0.1
"4",4.05671431751539,4930.09821116744,0.738469483537005,0.15
"5",3.30376829127706,6053.69330918454,0.98462597804934,0.2
"6",2.83762098880436,7048.15762179255,1.23078247256168,0.25
"7",2.49709258767317,8009.31455194312,1.47693896707401,0.3
"8",2.54274691730354,7865.50948657095,2.95387793414802,0.6
"9",2.53715122802908,7882.8568746911,3.93850391219736,0.8
"10",2.86671708895573,6976.62147306117,4.43081690122203,0.9
